Entreprise,Secteur,Taille,TypeAttaque,Date,Vecteur,ImpactAriary,IndispoHeures,DonneesCompromises,CampagneSécurité
Dudley Group,Finance,1566,fuite de données,2024-09-25 09:37:09.373921,téléchargement,595515.97,13,Oui,FormationPhishing
Doyle Ltd,Énergie,278,intrusion,2024-09-27 20:43:14.325026,port ouvert,469378.0,12,Oui,PatchUrgent
Wilkerson-Day,Commerce,1199,ransomware,2024-09-27 22:03:31.789172,port ouvert,244203.44,41,Non,AuditSécurité
"Guzman, Hoffman and Baldwin",Technologie,613,intrusion,2024-09-27 23:09:42.494958,API vulnérable,456552.9,20,Oui,MFA
Dudley Group,Technologie,1566,exploitation de vulnérabilité,2024-09-28 08:54:03.316515,clé USB,294790.81,36,Non,AuditSécurité
"Flowers, Martin and Kelly",Commerce,115,intrusion,2024-09-29 02:47:43.949610,site compromis,195237.23,29,Oui,MFA
James Group,Énergie,914,exploitation de vulnérabilité,2024-09-29 18:33:30.736186,téléchargement,554725.91,18,Oui,FormationPhishing
"Flowers, Martin and Kelly",Transport,115,fuite de données,2024-10-02 18:51:14.597026,site compromis,249666.15,33,Oui,
Garcia-James,Technologie,1558,fuite de données,2024-10-03 12:10:26.907332,site compromis,932824.38,21,Oui,MFA
Blake and Sons,Éducation,507,ransomware,2024-10-03 16:39:02.965856,email,82923.31,21,Non,FormationPhishing
Blair PLC,Éducation,1435,ddos,2024-10-04 01:06:44.969499,clé USB,858557.53,22,Non,MFA
Galloway-Wyatt,Énergie,1259,phishing,2024-10-04 22:30:21.616038,email,189316.35,15,Non,FormationPhishing
"Hoffman, Baker and Richards",Santé,1516,fuite de données,2024-10-05 04:31:59.843442,site compromis,833721.05,22,Non,FormationPhishing
"Rodriguez, Figueroa and Sanchez",Industrie,1359,account takeover,2024-10-06 04:42:06.529378,téléchargement,597132.34,8,Oui,FormationPhishing
Arnold Ltd,Transport,1877,phishing,2024-10-07 06:09:02.067911,site compromis,982762.01,23,Non,
Galloway-Wyatt,Éducation,1259,fuite de données,2024-10-07 09:19:52.204637,téléchargement,1142293.15,42,Oui,FormationPhishing
Garcia-James,Industrie,1558,phishing,2024-10-09 07:45:34.002613,RDP exposé,77921.68,35,Non,
"Mcclain, Miller and Henderson",Commerce,101,fuite de données,2024-10-09 16:08:01.228879,port ouvert,118466.52,15,Non,FormationPhishing
Abbott-Munoz,Santé,259,phishing,2024-10-09 16:57:03.416291,téléchargement,344887.43,48,Non,
"Rodriguez, Figueroa and Sanchez",Éducation,1359,ddos,2024-10-10 07:26:06.068514,API vulnérable,861947.86,17,Oui,AuditSécurité
"Mcclure, Ward and Lee",Industrie,1166,intrusion,2024-10-10 10:16:13.630218,API vulnérable,28656.2,19,Non,AuditSécurité
Abbott-Munoz,Commerce,259,malware,2024-10-12 01:50:51.162291,téléchargement,252687.75,7,Oui,
"Gardner, Robinson and Lawrence",Énergie,551,exploitation de vulnérabilité,2024-10-12 13:05:03.298843,clé USB,103819.52,27,Oui,FormationPhishing
James Group,Technologie,914,malware,2024-10-12 19:46:53.606312,clé USB,176539.71,29,Non,AuditSécurité
Morales-Jones,Santé,1282,exploitation de vulnérabilité,2024-10-12 22:25:55.134965,téléchargement,41530.53,25,Non,
Dudley Group,Santé,1566,exploitation de vulnérabilité,2024-10-12 23:10:31.490391,téléchargement,122982.09,14,Non,AuditSécurité
Galloway-Wyatt,Transport,1259,exploitation de vulnérabilité,2024-10-13 15:09:22.049435,API vulnérable,789648.59,24,Oui,AuditSécurité
"Reid, Ferguson and Sanchez",Industrie,241,fuite de données,2024-10-18 05:52:31.165216,clé USB,79837.3,19,Non,MFA
"Gardner, Robinson and Lawrence",Énergie,551,ransomware,2024-10-18 18:49:32.515475,API vulnérable,737586.23,25,Non,FormationPhishing
Morales-Jones,Commerce,1282,ransomware,2024-10-18 21:15:32.074124,site compromis,37472.66,16,Oui,PatchUrgent
"Guzman, Hoffman and Baldwin",Commerce,613,ddos,2024-10-19 10:52:19.316944,port ouvert,797523.31,5,Oui,AuditSécurité
"Ross, Robinson and Bright",Transport,1380,fuite de données,2024-10-19 11:13:14.988172,téléchargement,615167.91,13,Non,AuditSécurité
Wilkerson-Day,Industrie,1199,ransomware,2024-10-21 10:05:02.862212,téléchargement,256635.21,6,Non,PatchUrgent
Blair PLC,Transport,1435,intrusion,2024-10-23 02:46:42.272178,site compromis,1285471.36,21,Non,PatchUrgent
"Henderson, Ramirez and Lewis",Éducation,335,malware,2024-10-23 07:19:40.634337,email,178175.37,6,Oui,
"Walter, Edwards and Rios",Commerce,104,account takeover,2024-10-25 18:27:26.097749,clé USB,384958.42,0,Oui,MFA
Davis and Sons,Transport,1568,exploitation de vulnérabilité,2024-10-27 04:52:33.630535,RDP exposé,850870.64,42,Non,AuditSécurité
"Gardner, Robinson and Lawrence",Commerce,551,phishing,2024-10-27 10:39:56.358260,téléchargement,555807.44,10,Non,
"Ross, Robinson and Bright",Technologie,1380,intrusion,2024-10-29 11:51:22.688225,email,313729.97,39,Non,FormationPhishing
"Snyder, Campos and Callahan",Finance,1486,exploitation de vulnérabilité,2024-10-29 15:52:27.727003,téléchargement,566320.04,23,Non,MFA
Baker and Sons,Santé,457,ransomware,2024-10-31 07:48:17.631609,port ouvert,259790.18,12,Oui,FormationPhishing
Morales-Jones,Technologie,1282,exploitation de vulnérabilité,2024-11-02 06:25:02.435846,API vulnérable,71311.73,3,Oui,FormationPhishing
James Group,Transport,914,phishing,2024-11-02 13:26:31.519393,clé USB,97830.65,40,Non,
"Mcclain, Miller and Henderson",Énergie,101,malware,2024-11-02 19:03:59.611504,clé USB,742893.16,25,Non,PatchUrgent
"Mcclain, Miller and Henderson",Industrie,101,phishing,2024-11-03 07:27:40.150233,site compromis,182644.12,9,Non,
Blake and Sons,Santé,507,fuite de données,2024-11-03 20:56:50.390208,téléchargement,720437.12,8,Non,PatchUrgent
James Group,Énergie,914,account takeover,2024-11-08 09:36:17.134463,port ouvert,156422.89,25,Non,FormationPhishing
"Flowers, Martin and Kelly",Santé,115,fuite de données,2024-11-08 09:51:38.871305,site compromis,116440.96,25,Non,FormationPhishing
"Walter, Edwards and Rios",Industrie,104,ransomware,2024-11-09 15:48:46.433614,site compromis,569233.29,26,Non,
"Adams, Zuniga and Wong",Santé,111,phishing,2024-11-11 04:06:25.151658,port ouvert,774382.85,3,Oui,FormationPhishing
"Gardner, Robinson and Lawrence",Énergie,551,phishing,2024-11-11 22:23:15.113637,API vulnérable,464093.02,26,Non,
Baker and Sons,Technologie,457,intrusion,2024-11-13 02:54:54.975665,téléchargement,395651.75,31,Oui,MFA
"Hoffman, Baker and Richards",Technologie,1516,intrusion,2024-11-13 21:40:22.578459,site compromis,923488.94,26,Oui,AuditSécurité
"Flowers, Martin and Kelly",Énergie,115,fuite de données,2024-11-15 15:59:09.018634,API vulnérable,469148.04,36,Non,FormationPhishing
Morales-Jones,Technologie,1282,phishing,2024-11-16 04:23:31.111481,API vulnérable,40473.03,14,Non,PatchUrgent
"Mcclain, Miller and Henderson",Transport,101,ddos,2024-11-16 18:57:48.642515,RDP exposé,115928.09,18,Oui,
"Mcclure, Ward and Lee",Énergie,1166,phishing,2024-11-17 16:55:47.760963,RDP exposé,223396.86,5,Non,AuditSécurité
"Ross, Robinson and Bright",Commerce,1380,ddos,2024-11-19 00:35:24.982023,email,120740.8,29,Oui,MFA
"Henderson, Ramirez and Lewis",Éducation,335,malware,2024-11-19 20:47:46.837489,port ouvert,1082727.12,28,Oui,
Galloway-Wyatt,Industrie,1259,phishing,2024-11-21 04:31:57.671485,clé USB,64880.1,30,Oui,MFA
"Adams, Zuniga and Wong",Santé,111,ransomware,2024-11-23 15:58:18.306480,clé USB,813834.5,9,Oui,PatchUrgent
"Walter, Edwards and Rios",Finance,104,ddos,2024-11-23 18:14:17.026936,téléchargement,340528.27,36,Oui,FormationPhishing
"Rodriguez, Figueroa and Sanchez",Éducation,1359,malware,2024-11-24 03:49:19.987509,site compromis,1739440.4,37,Non,PatchUrgent
"Reid, Ferguson and Sanchez",Technologie,241,exploitation de vulnérabilité,2024-11-24 19:12:13.789273,RDP exposé,1420633.67,11,Non,PatchUrgent
Perez Inc,Énergie,1084,exploitation de vulnérabilité,2024-11-25 00:16:46.000269,site compromis,227862.46,37,Non,
"Flowers, Martin and Kelly",Finance,115,ddos,2024-11-26 00:38:13.484661,API vulnérable,800606.96,19,Oui,PatchUrgent
Doyle Ltd,Technologie,278,ransomware,2024-11-27 12:06:01.865572,RDP exposé,698133.41,18,Oui,AuditSécurité
Garcia-James,Énergie,1558,intrusion,2024-12-01 02:22:27.810689,API vulnérable,925571.8,35,Non,FormationPhishing
"Walter, Edwards and Rios",Transport,104,exploitation de vulnérabilité,2024-12-01 12:53:03.236209,API vulnérable,447340.74,37,Non,FormationPhishing
"Adams, Zuniga and Wong",Technologie,111,phishing,2024-12-03 16:44:10.292496,API vulnérable,1231262.46,11,Oui,FormationPhishing
Dudley Group,Transport,1566,malware,2024-12-04 18:05:34.402502,site compromis,792852.08,32,Oui,FormationPhishing
"Reid, Ferguson and Sanchez",Transport,241,intrusion,2024-12-06 11:46:52.915858,API vulnérable,22146.63,28,Oui,FormationPhishing
Galloway-Wyatt,Technologie,1259,ransomware,2024-12-07 07:37:50.200478,RDP exposé,675153.8,44,Non,PatchUrgent
James Group,Commerce,914,fuite de données,2024-12-07 07:55:01.476578,port ouvert,216177.79,29,Non,FormationPhishing
"Gardner, Robinson and Lawrence",Éducation,551,intrusion,2024-12-07 18:10:38.263442,API vulnérable,65128.81,14,Non,
Blake and Sons,Transport,507,ransomware,2024-12-08 16:46:45.157112,API vulnérable,304191.4,0,Oui,PatchUrgent
"Ross, Robinson and Bright",Énergie,1380,malware,2024-12-09 01:51:58.897286,port ouvert,375496.79,28,Oui,MFA
"Watts, Robinson and Nguyen",Industrie,526,phishing,2024-12-09 22:12:44.035486,clé USB,209216.97,28,Oui,AuditSécurité
"Rodriguez, Figueroa and Sanchez",Technologie,1359,fuite de données,2024-12-10 21:11:33.081028,API vulnérable,111884.48,46,Oui,PatchUrgent
"Mcclure, Ward and Lee",Commerce,1166,fuite de données,2024-12-11 14:41:40.153104,site compromis,543130.1,4,Oui,FormationPhishing
"Henderson, Ramirez and Lewis",Éducation,335,fuite de données,2024-12-12 03:57:23.727471,API vulnérable,67664.09,22,Non,PatchUrgent
"Gardner, Robinson and Lawrence",Énergie,551,fuite de données,2024-12-13 04:49:05.904460,clé USB,440214.68,45,Non,PatchUrgent
Doyle Ltd,Finance,278,fuite de données,2024-12-13 05:09:42.948941,site compromis,230115.1,53,Oui,PatchUrgent
Dudley Group,Finance,1566,intrusion,2024-12-13 12:13:33.567318,téléchargement,284230.49,39,Non,FormationPhishing
James Group,Commerce,914,malware,2024-12-17 21:01:30.317101,port ouvert,25673.93,19,Oui,PatchUrgent
"Watts, Robinson and Nguyen",Éducation,526,account takeover,2024-12-18 00:41:12.810646,RDP exposé,456800.05,17,Non,PatchUrgent
Baker and Sons,Industrie,457,intrusion,2024-12-18 03:37:51.028352,email,895103.77,30,Non,MFA
"Walter, Edwards and Rios",Finance,104,fuite de données,2024-12-19 12:43:42.560207,RDP exposé,539261.0,15,Oui,FormationPhishing
Blake and Sons,Énergie,507,intrusion,2024-12-20 06:15:58.124721,téléchargement,176982.29,20,Non,FormationPhishing
"Gardner, Robinson and Lawrence",Industrie,551,ransomware,2024-12-20 09:20:03.983623,RDP exposé,75654.44,43,Non,
"Henderson, Ramirez and Lewis",Finance,335,account takeover,2024-12-20 14:40:58.736691,email,1359664.77,28,Non,MFA
"Snyder, Campos and Callahan",Transport,1486,account takeover,2024-12-22 04:03:24.915165,site compromis,745655.06,31,Non,FormationPhishing
Arnold Ltd,Éducation,1877,ransomware,2024-12-24 17:23:54.846173,clé USB,303271.28,37,Oui,AuditSécurité
James Group,Santé,914,fuite de données,2024-12-25 16:27:02.592909,téléchargement,206964.65,23,Non,FormationPhishing
Morales-Jones,Commerce,1282,exploitation de vulnérabilité,2024-12-25 18:55:35.463012,clé USB,100319.34,20,Non,PatchUrgent
"Ross, Robinson and Bright",Énergie,1380,phishing,2024-12-26 22:01:04.508492,RDP exposé,553875.97,17,Oui,
"Ross, Robinson and Bright",Technologie,1380,ransomware,2024-12-29 12:18:16.783679,site compromis,164750.61,29,Non,
Doyle Ltd,Technologie,278,exploitation de vulnérabilité,2024-12-29 15:11:00.969886,RDP exposé,38660.08,20,Oui,FormationPhishing
Blair PLC,Santé,1435,exploitation de vulnérabilité,2024-12-30 05:55:42.450781,port ouvert,80525.98,13,Non,
Doyle Ltd,Éducation,278,malware,2024-12-31 05:30:34.750363,port ouvert,716273.1,37,Oui,MFA
"Gardner, Robinson and Lawrence",Énergie,551,intrusion,2024-12-31 11:41:07.097314,téléchargement,620321.77,16,Oui,PatchUrgent
Galloway-Wyatt,Transport,1259,account takeover,2025-01-01 11:29:46.285620,email,1021007.58,36,Oui,PatchUrgent
"Gardner, Robinson and Lawrence",Transport,551,ransomware,2025-01-01 12:34:11.461381,clé USB,331196.76,29,Oui,
"Henderson, Ramirez and Lewis",Finance,335,malware,2025-01-03 08:20:12.743802,RDP exposé,404126.38,3,Oui,FormationPhishing
Abbott-Munoz,Transport,259,exploitation de vulnérabilité,2025-01-03 10:59:09.484521,site compromis,803254.48,14,Oui,
"Hoffman, Baker and Richards",Commerce,1516,ddos,2025-01-03 22:44:54.557190,email,121774.92,36,Oui,
Wilkerson-Day,Éducation,1199,fuite de données,2025-01-04 01:12:38.325449,site compromis,560836.03,10,Oui,MFA
Morales-Jones,Industrie,1282,phishing,2025-01-06 23:28:49.411528,RDP exposé,1230751.79,38,Non,FormationPhishing
Perez Inc,Technologie,1084,fuite de données,2025-01-07 18:58:16.250927,email,557595.53,40,Non,FormationPhishing
"Guzman, Hoffman and Baldwin",Commerce,613,phishing,2025-01-08 17:02:17.205563,email,430441.98,35,Non,MFA
Abbott-Munoz,Commerce,259,ddos,2025-01-10 09:02:51.370672,email,452493.64,34,Oui,PatchUrgent
James Group,Transport,914,ransomware,2025-01-10 23:17:37.620501,port ouvert,339984.31,10,Non,AuditSécurité
Gray-Mayo,Énergie,497,fuite de données,2025-01-11 14:26:33.104781,clé USB,617846.06,10,Oui,
"Mcclure, Ward and Lee",Technologie,1166,exploitation de vulnérabilité,2025-01-11 16:21:28.581273,API vulnérable,32308.65,26,Non,PatchUrgent
"Guzman, Hoffman and Baldwin",Industrie,613,intrusion,2025-01-12 02:53:18.091190,port ouvert,396818.42,35,Oui,MFA
Arnold Ltd,Transport,1877,phishing,2025-01-12 19:37:13.178127,clé USB,121759.12,35,Oui,FormationPhishing
Morales-Jones,Finance,1282,ddos,2025-01-13 11:46:56.955924,clé USB,473142.12,24,Oui,PatchUrgent
Doyle Ltd,Énergie,278,fuite de données,2025-01-13 15:49:56.906824,clé USB,80533.95,19,Non,AuditSécurité
Doyle Ltd,Transport,278,account takeover,2025-01-13 16:35:07.608519,site compromis,345483.22,19,Oui,MFA
Wilkerson-Day,Finance,1199,intrusion,2025-01-16 03:31:08.277087,email,501302.64,44,Non,PatchUrgent
"Snyder, Campos and Callahan",Éducation,1486,ddos,2025-01-17 05:27:11.984259,site compromis,90261.72,31,Oui,PatchUrgent
Galloway-Wyatt,Commerce,1259,ransomware,2025-01-17 10:46:10.959499,API vulnérable,681939.56,50,Non,MFA
"Adams, Zuniga and Wong",Technologie,111,account takeover,2025-01-17 21:21:02.804675,email,101330.79,22,Non,PatchUrgent
"Henderson, Ramirez and Lewis",Énergie,335,phishing,2025-01-18 11:49:10.389241,port ouvert,996593.31,17,Non,AuditSécurité
"Gardner, Robinson and Lawrence",Finance,551,exploitation de vulnérabilité,2025-01-20 20:12:51.717946,site compromis,524006.95,0,Non,AuditSécurité
"Guzman, Hoffman and Baldwin",Commerce,613,exploitation de vulnérabilité,2025-01-22 15:33:25.510600,téléchargement,106564.18,18,Non,MFA
Blair PLC,Santé,1435,ransomware,2025-01-22 23:57:53.477122,API vulnérable,682425.82,43,Non,AuditSécurité
"Mcclure, Ward and Lee",Santé,1166,intrusion,2025-01-23 18:04:06.281284,clé USB,192345.08,30,Oui,AuditSécurité
"Reid, Ferguson and Sanchez",Finance,241,account takeover,2025-01-24 06:36:59.201074,clé USB,180222.42,32,Oui,MFA
Davis and Sons,Éducation,1568,exploitation de vulnérabilité,2025-01-24 07:02:35.739070,email,149862.75,26,Non,
Morales-Jones,Industrie,1282,account takeover,2025-01-24 23:00:34.940959,téléchargement,23257.48,34,Oui,AuditSécurité
Baker and Sons,Commerce,457,account takeover,2025-01-26 05:19:26.627394,RDP exposé,793693.03,55,Non,MFA
Morales-Jones,Santé,1282,ransomware,2025-01-28 01:59:36.082066,port ouvert,159203.63,34,Non,FormationPhishing
Perez Inc,Éducation,1084,account takeover,2025-01-28 06:36:51.353678,clé USB,411063.9,32,Non,MFA
Blair PLC,Énergie,1435,account takeover,2025-01-28 09:23:26.929310,email,133683.13,12,Non,
"Reid, Ferguson and Sanchez",Santé,241,ransomware,2025-01-29 14:42:31.943664,site compromis,77599.76,46,Oui,PatchUrgent
Morales-Jones,Transport,1282,ransomware,2025-01-30 12:57:14.410990,site compromis,397226.07,18,Non,MFA
"Walter, Edwards and Rios",Transport,104,phishing,2025-01-30 14:07:53.148180,RDP exposé,1148443.32,23,Non,PatchUrgent
"Snyder, Campos and Callahan",Technologie,1486,malware,2025-01-30 18:55:38.575807,RDP exposé,245880.39,0,Non,AuditSécurité
"Hoffman, Baker and Richards",Commerce,1516,ddos,2025-01-31 02:17:09.297516,RDP exposé,190491.9,11,Non,FormationPhishing
"Reid, Ferguson and Sanchez",Santé,241,malware,2025-01-31 23:09:33.993964,port ouvert,457523.84,70,Oui,
Davis and Sons,Finance,1568,phishing,2025-02-03 21:46:02.892925,site compromis,498700.03,32,Oui,MFA
Dudley Group,Transport,1566,exploitation de vulnérabilité,2025-02-05 17:00:54.247435,site compromis,596744.36,3,Oui,MFA
"Rodriguez, Figueroa and Sanchez",Finance,1359,account takeover,2025-02-06 19:59:29.705435,téléchargement,394289.3,53,Oui,
Abbott-Munoz,Technologie,259,intrusion,2025-02-07 13:13:38.186150,site compromis,305508.73,22,Non,MFA
"Mcclain, Miller and Henderson",Santé,101,ddos,2025-02-08 12:14:17.777052,RDP exposé,248538.77,35,Oui,
Williams and Sons,Énergie,228,phishing,2025-02-12 18:22:45.746934,email,237809.13,7,Non,PatchUrgent
James Group,Industrie,914,ransomware,2025-02-13 14:24:20.241676,port ouvert,346156.38,20,Non,MFA
"Gardner, Robinson and Lawrence",Industrie,551,exploitation de vulnérabilité,2025-02-16 05:05:33.238591,clé USB,371863.1,25,Non,MFA
Garcia-James,Énergie,1558,account takeover,2025-02-16 06:12:23.398108,port ouvert,155858.98,54,Oui,PatchUrgent
Blake and Sons,Éducation,507,exploitation de vulnérabilité,2025-02-16 21:45:08.871758,clé USB,269667.7,22,Non,MFA
Galloway-Wyatt,Industrie,1259,ddos,2025-02-17 16:01:31.553251,site compromis,26153.16,0,Non,
"Ross, Robinson and Bright",Énergie,1380,ddos,2025-02-19 06:09:06.822799,téléchargement,676562.52,30,Non,AuditSécurité
"Watts, Robinson and Nguyen",Éducation,526,fuite de données,2025-02-21 01:48:21.451220,email,656567.26,40,Non,PatchUrgent
"Snyder, Campos and Callahan",Technologie,1486,ransomware,2025-02-21 12:26:14.250833,API vulnérable,896232.65,20,Non,AuditSécurité
Baker and Sons,Industrie,457,account takeover,2025-02-21 17:24:36.330142,clé USB,1136648.89,36,Non,FormationPhishing
Blake and Sons,Industrie,507,phishing,2025-02-22 05:29:49.976578,API vulnérable,736815.87,11,Non,MFA
Williams and Sons,Éducation,228,phishing,2025-02-24 04:02:42.427746,RDP exposé,715141.73,26,Oui,PatchUrgent
"Flowers, Martin and Kelly",Commerce,115,fuite de données,2025-02-24 08:48:35.918653,port ouvert,212109.73,40,Non,MFA
Baker and Sons,Technologie,457,malware,2025-02-24 09:59:34.600250,téléchargement,182505.75,45,Non,
Dudley Group,Éducation,1566,account takeover,2025-02-25 04:08:30.700184,port ouvert,154203.38,5,Oui,FormationPhishing
"Guzman, Hoffman and Baldwin",Énergie,613,fuite de données,2025-02-25 04:52:04.914082,port ouvert,186894.6,9,Non,FormationPhishing
Morales-Jones,Commerce,1282,intrusion,2025-02-26 07:42:13.774648,email,118693.56,38,Non,MFA
"Henderson, Ramirez and Lewis",Énergie,335,fuite de données,2025-02-27 02:12:40.599034,téléchargement,414809.11,26,Non,MFA
Davis and Sons,Technologie,1568,phishing,2025-02-28 17:45:18.289543,port ouvert,17523.64,13,Non,PatchUrgent
"Adams, Zuniga and Wong",Technologie,111,exploitation de vulnérabilité,2025-03-02 09:25:38.096807,API vulnérable,183436.51,45,Non,AuditSécurité
Gray-Mayo,Énergie,497,account takeover,2025-03-02 23:46:36.759498,API vulnérable,69879.84,14,Oui,PatchUrgent
"Snyder, Campos and Callahan",Finance,1486,exploitation de vulnérabilité,2025-03-03 14:19:26.999155,RDP exposé,715922.27,6,Oui,AuditSécurité
Baker and Sons,Énergie,457,malware,2025-03-04 10:41:36.190884,email,485950.57,4,Oui,FormationPhishing
"Gardner, Robinson and Lawrence",Commerce,551,exploitation de vulnérabilité,2025-03-04 16:39:38.476221,téléchargement,138461.0,31,Oui,PatchUrgent
"Mcclain, Miller and Henderson",Transport,101,fuite de données,2025-03-06 13:44:22.009825,email,634702.64,30,Non,PatchUrgent
"Ross, Robinson and Bright",Technologie,1380,fuite de données,2025-03-07 20:55:56.005803,port ouvert,561190.68,19,Non,PatchUrgent
"Flowers, Martin and Kelly",Finance,115,phishing,2025-03-08 12:53:20.796786,site compromis,267719.35,37,Non,
Morales-Jones,Commerce,1282,malware,2025-03-10 00:03:38.264260,site compromis,32655.23,22,Oui,FormationPhishing
Wilkerson-Day,Commerce,1199,intrusion,2025-03-13 19:35:04.150421,RDP exposé,256758.67,31,Oui,AuditSécurité
"Snyder, Campos and Callahan",Commerce,1486,exploitation de vulnérabilité,2025-03-15 07:07:22.216618,email,179566.33,25,Oui,FormationPhishing
Dudley Group,Santé,1566,malware,2025-03-15 16:41:17.161430,RDP exposé,54094.37,5,Non,PatchUrgent
Williams and Sons,Énergie,228,account takeover,2025-03-16 17:03:39.540712,email,864097.07,30,Non,AuditSécurité
"Rodriguez, Figueroa and Sanchez",Commerce,1359,exploitation de vulnérabilité,2025-03-18 04:14:33.757239,RDP exposé,485445.26,37,Oui,FormationPhishing
James Group,Santé,914,phishing,2025-03-18 05:17:08.421167,RDP exposé,354416.51,44,Oui,FormationPhishing
Dudley Group,Commerce,1566,ransomware,2025-03-21 14:37:10.357315,API vulnérable,262612.25,18,Oui,FormationPhishing
"Flowers, Martin and Kelly",Commerce,115,ransomware,2025-03-22 09:29:27.155913,RDP exposé,355287.92,45,Non,
Baker and Sons,Commerce,457,intrusion,2025-03-22 11:13:04.316162,port ouvert,284680.41,7,Non,FormationPhishing
Davis and Sons,Technologie,1568,ddos,2025-03-23 09:21:10.073573,email,474092.71,32,Oui,MFA
"Guzman, Hoffman and Baldwin",Santé,613,malware,2025-03-23 14:30:50.887619,email,1016715.77,10,Oui,AuditSécurité
Garcia-James,Finance,1558,ransomware,2025-03-23 16:41:31.844357,téléchargement,124107.45,31,Oui,PatchUrgent
"Guzman, Hoffman and Baldwin",Technologie,613,exploitation de vulnérabilité,2025-03-25 14:21:11.840763,API vulnérable,67671.58,56,Oui,MFA
Garcia-James,Commerce,1558,phishing,2025-03-26 08:46:03.783691,clé USB,165183.32,26,Oui,FormationPhishing
Abbott-Munoz,Transport,259,phishing,2025-03-26 14:39:22.817744,site compromis,232237.21,0,Oui,MFA
Doyle Ltd,Industrie,278,account takeover,2025-03-26 18:12:19.240864,RDP exposé,442366.41,13,Oui,MFA
Davis and Sons,Transport,1568,ddos,2025-03-26 22:34:40.005321,RDP exposé,89373.19,20,Oui,PatchUrgent
"Hoffman, Baker and Richards",Industrie,1516,malware,2025-03-27 03:49:19.520309,site compromis,762056.36,35,Oui,AuditSécurité
Gray-Mayo,Finance,497,intrusion,2025-03-28 01:26:55.005669,téléchargement,186797.12,27,Non,
"Walter, Edwards and Rios",Éducation,104,ddos,2025-03-28 10:34:47.567384,port ouvert,302070.38,14,Non,AuditSécurité
Blair PLC,Finance,1435,phishing,2025-03-30 19:31:29.658522,RDP exposé,965375.42,38,Non,MFA
"Mcclure, Ward and Lee",Commerce,1166,fuite de données,2025-03-31 00:49:31.061832,API vulnérable,290510.78,8,Oui,MFA
Dudley Group,Technologie,1566,malware,2025-03-31 18:49:26.340400,site compromis,536286.85,46,Non,PatchUrgent
"Ross, Robinson and Bright",Technologie,1380,fuite de données,2025-04-01 06:57:18.027272,clé USB,75929.07,54,Oui,FormationPhishing
"Mcclain, Miller and Henderson",Santé,101,exploitation de vulnérabilité,2025-04-01 15:46:58.611546,RDP exposé,663088.77,46,Oui,AuditSécurité
"Guzman, Hoffman and Baldwin",Technologie,613,malware,2025-04-04 15:21:58.005091,RDP exposé,488834.68,12,Oui,
"Hoffman, Baker and Richards",Industrie,1516,exploitation de vulnérabilité,2025-04-04 20:29:54.093055,email,168660.45,35,Oui,FormationPhishing
"Hoffman, Baker and Richards",Transport,1516,intrusion,2025-04-06 12:03:22.408793,RDP exposé,341643.94,20,Oui,
James Group,Finance,914,fuite de données,2025-04-07 01:07:59.990801,site compromis,613771.22,24,Oui,
"Reid, Ferguson and Sanchez",Industrie,241,exploitation de vulnérabilité,2025-04-07 16:14:49.250649,clé USB,527950.39,26,Non,FormationPhishing
Wilkerson-Day,Énergie,1199,phishing,2025-04-08 01:46:10.096617,clé USB,312046.24,24,Non,MFA
Doyle Ltd,Santé,278,phishing,2025-04-09 12:00:43.787502,site compromis,283226.1,29,Oui,AuditSécurité
Williams and Sons,Énergie,228,fuite de données,2025-04-09 22:35:21.976139,clé USB,1237630.44,15,Oui,FormationPhishing
"Adams, Zuniga and Wong",Santé,111,phishing,2025-04-10 11:01:18.544278,RDP exposé,163568.59,21,Non,FormationPhishing
Arnold Ltd,Commerce,1877,phishing,2025-04-10 15:19:14.318551,clé USB,470731.36,33,Oui,FormationPhishing
"Rodriguez, Figueroa and Sanchez",Finance,1359,ddos,2025-04-12 02:05:37.523707,RDP exposé,287340.84,33,Oui,AuditSécurité
Blake and Sons,Éducation,507,ddos,2025-04-14 08:31:55.931959,API vulnérable,72191.36,25,Non,AuditSécurité
Morales-Jones,Industrie,1282,intrusion,2025-04-14 22:41:05.125975,email,738003.57,24,Non,AuditSécurité
Garcia-James,Santé,1558,malware,2025-04-14 23:50:54.711957,email,667839.2,39,Non,PatchUrgent
Abbott-Munoz,Transport,259,exploitation de vulnérabilité,2025-04-15 15:03:01.892311,téléchargement,86831.0,17,Oui,PatchUrgent
Doyle Ltd,Finance,278,exploitation de vulnérabilité,2025-04-16 20:30:44.177774,clé USB,956724.87,31,Oui,PatchUrgent
"Ross, Robinson and Bright",Industrie,1380,ddos,2025-04-17 11:16:33.634717,email,285828.37,7,Non,FormationPhishing
Wilkerson-Day,Transport,1199,ransomware,2025-04-18 17:25:07.789680,RDP exposé,796867.82,28,Oui,MFA
Blake and Sons,Industrie,507,fuite de données,2025-04-18 23:58:40.745831,clé USB,212255.09,29,Non,MFA
"Rodriguez, Figueroa and Sanchez",Technologie,1359,ddos,2025-04-20 18:07:32.646249,port ouvert,371362.67,29,Oui,
Abbott-Munoz,Énergie,259,exploitation de vulnérabilité,2025-04-20 19:37:52.960193,clé USB,164917.14,4,Non,MFA
Perez Inc,Énergie,1084,fuite de données,2025-04-21 04:12:12.048444,RDP exposé,72459.54,28,Non,
